Team,Name,Position,Points,Games Played,Games Played Percentage,Attack Attempts,Kills,Kill %,Attack Efficiency,Attack Error %,Block Stuffed Attack %,Reception Attempts,Average Passing Grade (3 Point Scale),Average Passing Grade (4 Point Scale),Good Pass %,Reception FBSO %,Serving Attempts,Aces Percentage,Serving Errors,Serving Error %,Point Scoring Percentage,Block Stuff Count,Block Touch %,Good Block Touch %,Block Error %,Defensive Touches,Digs,Digs %,CRT %,CNT %,R1 Attack Attempts,R1 Attack Efficiency,R2 Attack Attempts,R2 Attack Efficiency,R3 Attack Attempts,R3 Attack Efficiency,R4 Attack Attemptrs,R4 Attack Efficiency,R5 Attack Attempts,R5 Attack Efficiency,R6 Attack Attempts,R6 Attack Efficiency
Lees-Mcrae,Nelson Castellanos,Libero,6,17,60.7,32,4,12.5,-0.188,12.5,18.8,54,1.81,1.95,42.6,18.5,28,0,5,17.9,17.9,2,2,25,66.7,10,10,100,80,30,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Jadon Ciriacks,Outside,37,25,89.3,124,32,25.8,0.04,11.3,10.5,160,1.73,1.83,33.1,23.1,60,8.3,17,28.3,30,0,3.1,31.8,50,36,30,83.3,61.1,5.6,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Thiago DaSilva,Setter,13,28,100,29,6,20.7,0.172,3.4,0,2,1.5,1.5,0,0,92,4.3,22,23.9,25,3,7.2,25.5,43.1,47,32,68.1,51.1,6.4,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Ben Fincham,Middle,42,28,100,97,32,33,0.072,14.4,11.3,3,1,1,0,33.3,68,7.4,13,19.1,23.5,5,7.6,37,42.6,23,19,82.6,34.8,8.7,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Innocent Godwin,Defensive Specialist,0,2,7.1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Sebastian Heer,Middle,40,28,100,81,27,33.3,0.074,13.6,12.3,2,3,3,100,0,50,6,5,10,34,10,9.6,33.8,42.6,4,3,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Kaiyan Ivey,Setter,3,12,42.9,14,2,14.3,-0.143,21.4,7.1,0,0,0,0,0,21,4.8,5,23.8,38.1,0,0.6,33.3,0,12,11,91.7,58.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Isaac LuFunor,Libero,0,7,25,0,0,0,0,0,0,49,1.91,2.03,42.8,20.4,3,0,0,0,33.3,0,0,0,0,9,8,88.9,77.8,22.2,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Kevin Procter,Outside,0,9,32.1,1,0,0,0,0,0,7,0.5,0.5,0,0,9,0,3,33.3,11.1,0,0.3,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Ben Ratliff-Becher,Libero,0,26,92.9,0,0,0,0,0,0,154,1.98,2.1,42.9,27.9,4,0,0,0,25,0,0,0,0,66,51,77.3,63.6,15.2,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Lincoln Scofield,Outside,31,13,46.4,104,30,28.8,0.067,13.5,8.7,1,1,1,0,100,36,2.8,8,22.2,19.4,0,3.2,25,33.3,17,11,64.7,47.1,11.8,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Lleyton Starke,Opposite,20,9,32.1,68,18,26.5,-0.059,14.7,17.6,0,0,0,0,0,35,2.9,4,11.4,45.7,1,2.7,60,20,11,9,81.8,36.4,9.1,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Ed-Verian Basson,Middle,9,10,32.3,19,8,42.1,0.263,5.3,10.5,1,0,0,0,0,20,5,2,10,25,0,6.4,29.2,54.2,4,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Greg Bodus,Middle,53,30,96.8,87,33,37.9,0.218,8,8,8,1.81,1.94,37.5,12.5,91,1.1,16,17.6,27.5,19,12,42,25,33,27,81.8,54.5,12.1,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Ariq Casas,Libero,1,7,22.6,6,0,0,-0.167,0,16.7,0,0,0,0,0,22,4.5,1,4.5,45.5,0,4.2,0,66.7,14,9,64.3,35.7,21.4,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Elek Cumming,Outside,12,5,16.1,21,10,47.6,0.333,9.5,4.7,28,1.96,2.18,46.5,28.6,9,11.1,2,22.2,33.3,1,2.4,28.6,71.4,8,6,75,62.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Aidan Feeney,Outside,59,22,71,146,55,37.7,0.123,15.1,10.3,146,1.96,2.06,46.6,23.3,58,3.4,11,19,24.1,2,3.1,26.9,65.4,48,31,64.6,56.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Carlos Guerrero,Opposite,29,14,45.2,103,23,22.3,-0.01,14.6,8.8,0,0,0,0,0,41,0,8,19.5,24.4,6,5.9,46.2,34.6,28,20,71.4,53.6,28.6,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Noah Langelier,Outside,1,9,29,8,1,12.5,-0.125,12.5,12.5,38,1.86,1.96,39.5,10.5,2,0,1,50,50,0,0.5,0,50,13,7,53.8,15.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Andrew Michael,Middle,45,23,74.2,76,31,40.8,0.303,5.3,5.2,1,3,3,100,0,65,4.6,8,12.3,23.1,11,8.5,51.7,31.7,8,6,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Lucas Nieves,Opposite,29,14,45.2,98,26,26.5,0.01,9.2,16.3,0,0,0,0,0,39,0,5,12.8,33.3,3,3.4,31.6,52.6,20,14,70,30,10,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Bryan Povea,Outside,6,6,19.4,30,4,13.3,-0.1666,20,10,9,1.39,1.39,22.2,11.1,17,11.8,4,23.5,25.3,0,1.4,25,75,9,5,55.6,44.4,11.1,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Miguel Rodrigues,Setter,0,4,12.9,0,0,0,0,0,0,0,0,0,0,0,3,0,2,66.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Josh Staehler,Defensive Specialist,0,30,96.8,0,0,0,0,0,0,133,1.94,2.09,44.4,19.6,0,0,0,0,0,0,0,0,0,92,63,68.5,46.7,20.7,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel,Truman Tran,Setter,1,3,9.7,2,1,50,0.5,0,0,0,0,0,0,0,6,0,0,0,33.3,0,1.2,0,50,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
